business_name,category,city,phone,rating,review_count,closed_days,website,email,owner_name,booking_tech,notes
Royal Thai Massage and Healing Center,massage,Laguna Niguel,+1 949-503-2692,4.9,267,none,https://royalthaimassagehealing.com,royalthaimassage.ln@gmail.com,,Square,Email from snippet; also lists on Fresha
Heavenly Thai Massage,massage,Laguna Niguel,+1 949-245-9727,5.0,54,none,https://www.heavenly-thaimassage.com,none found,,Setmore,Also Square; no published email in snippets
On Point Massage,massage,Laguna Niguel,+1 949-800-8161,4.8,70,none,https://www.onpointmassagespa.com,none found,,Fresha,On Point Massage Therapy Inc; no published email in snippets
Relax Body & Mind Spa,massage,Laguna Niguel,+1 949-388-9991,4.6,76,none,https://relaxbodymindspalagunaniguel.com,none found,,Fresha,Also booked via Fresha; no published email in snippets
Sun Rise World Therapies,massage,Laguna Niguel,+1 626-241-2852,5.0,51,"Mon, Wed",https://sunriseworldtherapies.com,none found,Dr. Fadia Aboraid,MassageBook,LLC; also on ClassPass; owner from snippet; no email
OC Therapeutic Massage Inc,massage,Laguna Niguel,+1 949-779-0682,5.0,24,"Mon, Sun",https://www.octherapeuticmassage.com,dj@octherapeuticmassage.com,"DJ (founder, first name only)",Square,Also MassageBook; Wix site; email & founder first name from snippets
Tustin Hair Salon,salon,Tustin,+1 714-486-1310,4.6,160,Mon,https://www.tustin-hairsalon.com,none found,,,"Unverified gmail (tustinhairsalon2022@gmail.com) appeared only in an AI summary, not a literal snippet (excluded); booking by phone"
The Young American Salon - Old Town,salon,Tustin,+1 714-838-8076,4.8,109,Sun,https://www.theyoungamerican.com/california/old-town,none found,,WellnessLiving,150 E Main St; shares site/phone with Southern; only data-broker emails (excluded)
The Young American Salon - Southern,salon,Tustin,+1 714-838-8076,4.9,176,none,https://www.theyoungamerican.com/california/southern-local,none found,,WellnessLiving,720 W First St; same salon/site as Old Town; no verified published email
Bloom Hair Studio,salon,Tustin,+1 714-946-8609,5.0,11,"Mon, Sun",https://taddeohair.glossgenius.com,none found,,GlossGenius,No independent domain; GlossGenius page is main web presence; IG @bloomhairstudio_oc
Haute & Knotty Salon,salon,Tustin,+1 714-617-5663,4.8,30,"Mon, Sun",https://hautenknotty.com,hautenknotty@gmail.com,,Vagaro,Email from contact-us page snippet; booking via Vagaro
Salon Ara,salon,Tustin,+1 714-508-7782,4.6,70,"Mon, Sun",none found,none found,Kathy An (likely owner),Fresha,"No own website (Fresha/directories only); Kathy An is registered agent of Salon Ara Kay, Inc"
LIMITLESS SALON SUITES,salon,Tustin,+1 714-277-9921,5.0,22,Sun,https://limitlesssalonsuites.com,none found,,Booksy,"Barber private-suite concept, 13132 Newport Ave; booking via Booksy"
Best Hair Care,salon,Tustin,+1 714-832-1182,4.6,45,Sun,none found,none found,,Fresha,No official own site (Fresha listing + directory only)
