business_name,category,city,phone,rating,review_count,closed_days
Mission Viejo Dental Specialists,dental,Mission Viejo,+1 949-877-3345,4.8,34,Sun
Los Alisos Dentistry,dental,Mission Viejo,+1 949-380-9506,4.8,104,"Sat, Sun"
Vartanian Dental Group,dental,Mission Viejo,+1 949-586-5669,4.9,1383,"Sat, Sun"
OC Smile Dental & Orthodontics,dental,Mission Viejo,+1 949-461-0000,4.4,153,Sun
Smile Dental Boutique,dental,Mission Viejo,+1 949-273-1900,4.9,161,"Sat, Sun"
Lake Forest Dental Health Care,dental,Lake Forest,+1 949-581-1000,5.0,365,Sun
Lake Forest Dental Center,dental,Lake Forest,+1 949-855-1161,4.9,249,"Sat, Sun"
Smiles West Dental & Orthodontics,dental,Lake Forest,+1 949-635-7509,4.3,271,"Sat, Sun"
Dental Wellness of Lake Forest,dental,Lake Forest,+1 949-444-5833,4.4,117,Sun
Smile on You Dentistry,dental,Lake Forest,+1 949-716-4892,4.9,123,"Sat, Sun"
Lake Forest Dental Group and Orthodontics,dental,Lake Forest,+1 949-770-9355,4.3,203,"Sat, Sun"
Smile Works Dentistry & Orthodontics,dental,Lake Forest,+1 949-472-4200,4.9,68,"Sat, Sun"
Forest Family Dentistry,dental,Lake Forest,+1 949-583-1558,4.8,47,"Sat, Sun"
Baker Ranch Dental Spa & Implant Center,dental,Lake Forest,+1 949-919-6140,4.8,293,Sun
LF Dental,dental,Lake Forest,+1 949-446-0700,5.0,46,Sun
Newport Beach MedSpa,med spa,Newport Beach,+1 949-631-2800,4.8,274,Sun
NakedMD Med Spa,med spa,Newport Beach,+1 949-379-8758,4.9,1681,Sun
Beauty Boost Med Spa,med spa,Newport Beach,+1 949-514-8602,4.9,207,Sun
BioRevive Med & Wellness Spa,med spa,Newport Beach,+1 949-867-7833,5.0,108,Sat
South Coast MedSpa,med spa,Newport Beach,+1 949-650-7267,4.7,309,Sun
MeSO Medspa,med spa,Newport Beach,+1 949-617-1221,4.8,356,none
BioSpa,med spa,Newport Beach,+1 949-732-3888,4.9,416,"Sat, Sun"
LunaGlow MedSpa,med spa,Newport Beach,+1 949-734-0747,5.0,36,Sun
Akari Medspa,med spa,Newport Beach,+1 949-628-6949,4.9,68,Sun
Beyond Beauty Medical Spa,med spa,Newport Beach,+1 949-203-3434,5.0,226,"Sat, Sun"
Deluxe Med Spa & Wellness,med spa,Irvine,+1 949-350-8889,4.5,113,none
Masters Medspa,med spa,Irvine,+1 949-334-6003,5.0,157,"Mon, Sat, Sun"
LA Queen Med Spa,med spa,Irvine,+1 949-981-1186,4.9,82,"Mon, Sun"
Amoderm Cosmetic and Wellness,med spa,Irvine,+1 949-266-7346,4.9,699,Sun
Supreme Beauty Life Spa,med spa,Irvine,+1 949-377-1868,4.9,79,none
Lux Medical OC,med spa,Irvine,+1 949-776-0606,5.0,101,"Sat, Sun"
Concierge Aesthetics,med spa,Irvine,+1 949-767-0000,4.9,226,"Sat, Sun"
Avant Medspa,med spa,Irvine,+1 949-656-8999,4.6,10,Sun
Dream Med Spa,med spa,Tustin,+1 714-417-9550,5.0,345,Sun
Beautiful Med Spa,med spa,Costa Mesa,+1 714-855-8958,5.0,57,"Mon, Sat, Sun"
MySkin Medical Spa,med spa,Costa Mesa,+1 949-209-8953,4.9,101,Sun
Celle Medical Aesthetics & Wellness,med spa,Costa Mesa,+1 949-981-2262,5.0,14,"Mon, Sun"
GLO Bar MedSpa,med spa,Costa Mesa,+1 714-410-5685,4.9,81,Sun
Park Medspa,med spa,Costa Mesa,+1 714-391-5064,5.0,18,"Mon, Tue, Wed, Thu, Sat, Sun"
Iconique Medical Aesthetics,med spa,Costa Mesa,+1 949-207-7207,5.0,132,"Sat, Sun"
OmniaPiel Facial Aesthetics,med spa,Costa Mesa,+1 714-716-5031,4.9,73,Sun
Gold Coast Aesthetics,med spa,Costa Mesa,+1 949-998-4611,4.9,195,Sun
Skin Perfect Medical Aesthetics,med spa,Costa Mesa,+1 714-485-3212,4.8,211,Sun
LYVE Medspa,med spa,Costa Mesa,+1 949-828-3424,5.0,52,Sun
Squeeze Massage,massage,Laguna Niguel,+1 949-799-4995,4.9,55,none
Balance Massage & Facial,massage,Laguna Niguel,+1 949-886-6088,4.9,112,none
The NOW Massage,massage,Laguna Niguel,+1 949-538-5665,5.0,69,none
Royal Thai Massage and Healing Center,massage,Laguna Niguel,+1 949-503-2692,4.9,267,none
Heavenly Thai Massage,massage,Laguna Niguel,+1 949-245-9727,5.0,54,none
On Point Massage,massage,Laguna Niguel,+1 949-800-8161,4.8,70,none
Relax Body & Mind Spa,massage,Laguna Niguel,+1 949-388-9991,4.6,76,none
Sun Rise World Therapies,massage,Laguna Niguel,+1 626-241-2852,5.0,51,"Mon, Wed"
OC Therapeutic Massage Inc,massage,Laguna Niguel,+1 949-779-0682,5.0,24,"Mon, Sun"
Tustin Hair Salon,salon,Tustin,+1 714-486-1310,4.6,160,Mon
The Young American Salon - Old Town,salon,Tustin,+1 714-838-8076,4.8,109,Sun
The Young American Salon - Southern,salon,Tustin,+1 714-838-8076,4.9,176,none
Bloom Hair Studio,salon,Tustin,+1 714-946-8609,5.0,11,"Mon, Sun"
Haute & Knotty Salon,salon,Tustin,+1 714-617-5663,4.8,30,"Mon, Sun"
Salon Ara,salon,Tustin,+1 714-508-7782,4.6,70,"Mon, Sun"
LIMITLESS SALON SUITES,salon,Tustin,+1 714-277-9921,5.0,22,Sun
Best Hair Care,salon,Tustin,+1 714-832-1182,4.6,45,Sun
